,id,raw_model_label,shap_model_label,label_prob,xai_top_text,xai_total_value,xai_top_value
0,15700,2,1,0.5071725,"사항,돌발,도메인,업체,먹튀","-0.0005499999970197678,0.0,-0.35812699794769287,-0.08541800081729889,-0.046174999326467514,-0.0030449999030679464,-9.999999974752427e-07,0.0014479999663308263,0.025530999526381493,0.09874799847602844,0.16910499334335327,0.18748800456523895,0.3405340015888214,1.1207380294799805,1.7192870378494263","0.16899999976158142,0.18700000643730164,0.3409999907016754,1.121000051498413,1.718999981880188"
1,15701,1,1,0.9983891,"배팅,사이트,회원,로그인,배팅내역","-0.4457460045814514,0.10672599822282791,-0.35771700739860535,0.01928200013935566,0.0,0.47295698523521423,0.5838819742202759,0.7716540098190308,0.9140260219573975,1.0966670513153076,0.0,-0.3995720148086548,-0.038249000906944275,-0.030820000916719437,-0.0005290000117383897","0.4729999899864197,0.5839999914169312,0.7720000147819519,0.9139999747276306,1.097000002861023"
2,15702,0,0,0.9766236,"회원,안내,서비스,코드,카지노","0.2523699998855591,0.3255850076675415,0.4478830099105835,0.49323898553848267,1.1643099784851074,-0.7037699818611145,-0.47861000895500183,-0.06362699717283249,-0.05547799915075302,-0.0074709998443722725,0.05772799998521805,-0.0446540005505085,-0.024080999195575714,-0.07948199659585953,-0.07309000194072723","0.25200000405311584,0.32600000500679016,0.4480000138282776,0.49300000071525574,1.1640000343322754"
3,15703,0,0,0.9766236,"회원,안내,서비스,코드,카지노","0.2523699998855591,0.32589301466941833,0.4478830099105835,0.49323898553848267,1.1642800569534302,-0.7037699818611145,-0.47861000895500183,-0.06362699717283249,-0.05547799915075302,-0.0074709998443722725,0.05772799998521805,-0.0446540005505085,-0.024080999195575714,-0.07948199659585953,-0.07309000194072723","0.25200000405311584,0.32600000500679016,0.4480000138282776,0.49300000071525574,1.1640000343322754"
4,15704,2,2,0.9993069,"코드,보증,메이저,사이트,먹튀","-0.8461769819259644,-0.011277999728918076,-0.00877000018954277,-0.025079000741243362,-0.1945510059595108,-0.06417500227689743,-0.0021929999347776175,-0.021889999508857727,-0.7756199836730957,-0.2466839998960495,0.2929129898548126,0.335657000541687,0.4327470064163208,0.528302013874054,1.9801579713821411","0.2930000126361847,0.335999995470047,0.43299999833106995,0.527999997138977,1.9800000190734863"
5,15705,2,2,0.9986614,"코드,보증,메이저,사이트,먹튀","-0.8464599847793579,-0.011277999728918076,-0.00877000018954277,-0.00926900003105402,-0.19487899541854858,-0.04267499968409538,-0.0021929999347776175,-0.02113400027155876,-0.7379630208015442,-0.2046789973974228,0.2929129898548126,0.3368229866027832,0.43352898955345154,0.5034340023994446,2.0184059143066406","0.2930000126361847,0.3370000123977661,0.4339999854564667,0.503000020980835,2.0179998874664307"
6,15706,1,1,0.9990951,"아이디,정보,사이트,회원,로그인","-0.40798598527908325,-0.2059749960899353,0.01905900053679943,-0.5154479742050171,0.02597299963235855,0.45838499069213867,0.6997309923171997,0.7322199940681458,0.9769440293312073,1.6369049549102783,-0.02393599972128868,0.011932999826967716,-0.5302659869194031,-0.05212799832224846,-0.09156700223684311","0.4580000042915344,0.699999988079071,0.7319999933242798,0.9769999980926514,1.6369999647140503"
7,15707,0,0,0.9871579,"아이디,가입,회원,코드,카지노","0.14787499606609344,0.176829993724823,0.2547670006752014,0.4933460056781769,1.1323089599609375,-0.3621000051498413,-0.15607599914073944,-0.6992700099945068,-0.06897199898958206,-0.007528999820351601,0.006426999811083078,0.018720999360084534,0.05977800115942955,-0.07933499664068222,-0.06869500130414963","0.14800000190734863,0.1770000010728836,0.2549999952316284,0.49300000071525574,1.1319999694824219"
8,15708,1,1,0.9997718,"금액,사이트,계좌,회원,로그인","-0.047940000891685486,0.01998800039291382,-2.4000000848900527e-05,-0.37880000472068787,-0.0521869994699955,0.4794110059738159,0.5198310017585754,0.9005540013313293,1.1128640174865723,1.1667050123214722,-0.017000999301671982,-0.3218579888343811,-0.019990000873804092,-0.08517500013113022,-0.055174000561237335","0.4790000021457672,0.5199999809265137,0.9010000228881836,1.1130000352859497,1.1670000553131104"
9,15709,1,1,0.9995136,"사이트,계좌,개인정보,회원,로그인","0.010906999930739403,-2.300000051036477e-05,-0.015667999163269997,-0.3906889855861664,-0.00672700023278594,0.427731990814209,0.8226410150527954,0.9187870025634766,0.9788839817047119,1.3710830211639404,-0.4409539997577667,-0.0021550001110881567,-0.11633999645709991,-0.07260700315237045,-0.04272500053048134","0.42800000309944153,0.8230000138282776,0.9190000295639038,0.9789999723434448,1.371000051498413"
